Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
3,male,22,1,0,7.25,,S,no
1,female,38,1,0,71.2833,C85,C,yes
3,female,26,0,0,7.925,,S,yes
1,female,35,1,0,53.1,C123,S,yes
3,male,35,0,0,8.05,,S,no
3,male,,0,0,8.4583,,Q,no
1,male,54,0,0,51.8625,E46,S,no
3,male,2,3,1,21.075,,S,no
3,female,27,0,2,11.1333,,S,yes
2,female,14,1,0,30.0708,,C,yes
3,female,4,1,1,16.7,G6,S,yes
1,female,58,0,0,26.55,C103,S,yes
3,male,20,0,0,8.05,,S,no
3,male,39,1,5,31.275,,S,no
3,female,14,0,0,7.8542,,S,no
2,female,55,0,0,16,,S,yes
3,male,2,4,1,29.125,,Q,no
2,male,,0,0,13,,S,yes
3,female,31,1,0,18,,S,no
3,female,,0,0,7.225,,C,yes
2,male,35,0,0,26,,S,no
2,male,34,0,0,13,D56,S,yes
3,female,15,0,0,8.0292,,Q,yes
1,male,28,0,0,35.5,A6,S,yes
3,female,8,3,1,21.075,,S,no
3,female,38,1,5,31.3875,,S,yes
3,male,,0,0,7.225,,C,no
1,male,19,3,2,263,C23 C25 C27,S,no
3,female,,0,0,7.8792,,Q,yes
3,male,,0,0,7.8958,,S,no
1,male,40,0,0,27.7208,,C,no
1,female,,1,0,146.5208,B78,C,yes
3,female,,0,0,7.75,,Q,yes
2,male,66,0,0,10.5,,S,no
1,male,28,1,0,82.1708,,C,no
1,male,42,1,0,52,,S,no
3,male,,0,0,7.2292,,C,yes
3,male,21,0,0,8.05,,S,no
3,female,18,2,0,18,,S,no
3,female,14,1,0,11.2417,,C,yes
3,female,40,1,0,9.475,,S,no
2,female,27,1,0,21,,S,no
3,male,,0,0,7.8958,,C,no
2,female,3,1,2,41.5792,,C,yes
3,female,19,0,0,7.8792,,Q,yes
3,male,,0,0,8.05,,S,no
3,male,,1,0,15.5,,Q,no
3,female,,0,0,7.75,,Q,yes
3,male,,2,0,21.6792,,C,no
3,female,18,1,0,17.8,,S,no
3,male,7,4,1,39.6875,,S,no
3,male,21,0,0,7.8,,S,no
1,female,49,1,0,76.7292,D33,C,yes
2,female,29,1,0,26,,S,yes
1,male,65,0,1,61.9792,B30,C,no
1,male,,0,0,35.5,C52,S,yes
2,female,21,0,0,10.5,,S,yes
3,male,28.5,0,0,7.2292,,C,no
2,female,5,1,2,27.75,,S,yes
3,male,11,5,2,46.9,,S,no
3,male,22,0,0,7.2292,,C,no
1,female,38,0,0,80,B28,,yes
1,male,45,1,0,83.475,C83,S,no
3,male,4,3,2,27.9,,S,no
1,male,,0,0,27.7208,,C,no
3,male,,1,1,15.2458,,C,yes
2,female,29,0,0,10.5,F33,S,yes
3,male,19,0,0,8.1583,,S,no
3,female,17,4,2,7.925,,S,yes
3,male,26,2,0,8.6625,,S,no
2,male,32,0,0,10.5,,S,no
3,female,16,5,2,46.9,,S,no
2,male,21,0,0,73.5,,S,no
3,male,26,1,0,14.4542,,C,no
3,male,32,0,0,56.4958,,S,yes
3,male,25,0,0,7.65,F G73,S,no
3,male,,0,0,7.8958,,S,no
3,male,,0,0,8.05,,S,no
2,male,0.83,0,2,29,,S,yes
3,female,30,0,0,12.475,,S,yes
3,male,22,0,0,9,,S,no
3,male,29,0,0,9.5,,S,yes
3,female,,0,0,7.7875,,Q,yes
1,male,28,0,0,47.1,,S,no
2,female,17,0,0,10.5,,S,yes
3,female,33,3,0,15.85,,S,yes
3,male,16,1,3,34.375,,S,no
3,male,,0,0,8.05,,S,no
1,female,23,3,2,263,C23 C25 C27,S,yes
3,male,24,0,0,8.05,,S,no
3,male,29,0,0,8.05,,S,no
3,male,20,0,0,7.8542,,S,no
1,male,46,1,0,61.175,E31,S,no
3,male,26,1,2,20.575,,S,no
3,male,59,0,0,7.25,,S,no
3,male,,0,0,8.05,,S,no
1,male,71,0,0,34.6542,A5,C,no
1,male,23,0,1,63.3583,D10 D12,C,yes
2,female,34,0,1,23,,S,yes
2,male,34,1,0,26,,S,no
3,female,28,0,0,7.8958,,S,no
3,male,,0,0,7.8958,,S,no
1,male,21,0,1,77.2875,D26,S,no
3,male,33,0,0,8.6542,,S,no
3,male,37,2,0,7.925,,S,no
3,male,28,0,0,7.8958,,S,no
3,female,21,0,0,7.65,,S,yes
3,male,,0,0,7.775,,S,yes
3,male,38,0,0,7.8958,,S,no
3,female,,1,0,24.15,,Q,yes
1,male,47,0,0,52,C110,S,no
3,female,14.5,1,0,14.4542,,C,no
3,male,22,0,0,8.05,,S,no
3,female,20,1,0,9.825,,S,no
3,female,17,0,0,14.4583,,C,no
3,male,21,0,0,7.925,,S,no
3,male,70.5,0,0,7.75,,Q,no
2,male,29,1,0,21,,S,no
1,male,24,0,1,247.5208,B58 B60,C,no
3,female,2,4,2,31.275,,S,no
2,male,21,2,0,73.5,,S,no
3,male,,0,0,8.05,,S,no
2,male,32.5,1,0,30.0708,,C,no
2,female,32.5,0,0,13,E101,S,yes
1,male,54,0,1,77.2875,D26,S,no
3,male,12,1,0,11.2417,,C,yes
3,male,,0,0,7.75,,Q,no
3,male,24,0,0,7.1417,,S,yes
3,female,,1,1,22.3583,F E69,C,yes
3,male,45,0,0,6.975,,S,no
3,male,33,0,0,7.8958,,C,no
3,male,20,0,0,7.05,,S,no
3,female,47,1,0,14.5,,S,no
2,female,29,1,0,26,,S,yes
2,male,25,0,0,13,,S,no
2,male,23,0,0,15.0458,,C,no
1,female,19,0,2,26.2833,D47,S,yes
1,male,37,1,0,53.1,C123,S,no
3,male,16,0,0,9.2167,,S,no
1,male,24,0,0,79.2,B86,C,no
3,female,,0,2,15.2458,,C,no
3,female,22,0,0,7.75,,S,yes
3,female,24,1,0,15.85,,S,yes
3,male,19,0,0,6.75,,Q,no
2,male,18,0,0,11.5,,S,no
2,male,19,1,1,36.75,,S,no
3,male,27,0,0,7.7958,,S,yes
3,female,9,2,2,34.375,,S,no
2,male,36.5,0,2,26,F2,S,no
2,male,42,0,0,13,,S,no
2,male,51,0,0,12.525,,S,no
1,female,22,1,0,66.6,C2,S,yes
3,male,55.5,0,0,8.05,,S,no
3,male,40.5,0,2,14.5,,S,no
3,male,,0,0,7.3125,,S,no
1,male,51,0,1,61.3792,,C,no
3,female,16,0,0,7.7333,,Q,yes
3,male,30,0,0,8.05,,S,no
3,male,,0,0,8.6625,,S,no
3,male,,8,2,69.55,,S,no
3,male,44,0,1,16.1,,S,no
2,female,40,0,0,15.75,,S,yes
3,male,26,0,0,7.775,,S,no
3,male,17,0,0,8.6625,,S,no
3,male,1,4,1,39.6875,,S,no
3,male,9,0,2,20.525,,S,yes
1,female,,0,1,55,E33,S,yes
3,female,45,1,4,27.9,,S,no
1,male,,0,0,25.925,,S,no
3,male,28,0,0,56.4958,,S,no
1,male,61,0,0,33.5,B19,S,no
3,male,4,4,1,29.125,,Q,no
3,female,1,1,1,11.1333,,S,yes
3,male,21,0,0,7.925,,S,no
1,male,56,0,0,30.6958,A7,C,no
3,male,18,1,1,7.8542,,S,no
3,male,,3,1,25.4667,,S,no
1,female,50,0,0,28.7125,C49,C,no
2,male,30,0,0,13,,S,no
3,male,36,0,0,0,,S,no
3,female,,8,2,69.55,,S,no
2,male,,0,0,15.05,,C,no
3,male,9,4,2,31.3875,,S,no
2,male,1,2,1,39,F4,S,yes
3,female,4,0,2,22.025,,S,yes
1,male,,0,0,50,A32,S,no
3,female,,1,0,15.5,,Q,yes
1,male,45,0,0,26.55,,S,yes
3,male,40,1,1,15.5,,Q,no
3,male,36,0,0,7.8958,,S,no
2,female,32,0,0,13,,S,yes
2,male,19,0,0,13,,S,no
3,female,19,1,0,7.8542,,S,yes
2,male,3,1,1,26,F2,S,yes
1,female,44,0,0,27.7208,B4,C,yes
1,female,58,0,0,146.5208,B80,C,yes
3,male,,0,0,7.75,,Q,no
3,male,42,0,1,8.4042,,S,no
3,female,,0,0,7.75,,Q,yes
2,female,24,0,0,13,,S,no
3,male,28,0,0,9.5,,S,no
3,male,,8,2,69.55,,S,no
3,male,34,0,0,6.4958,,S,no
3,male,45.5,0,0,7.225,,C,no
3,male,18,0,0,8.05,,S,yes
3,female,2,0,1,10.4625,G6,S,no
3,male,32,1,0,15.85,,S,no
3,male,26,0,0,18.7875,,C,yes
3,female,16,0,0,7.75,,Q,yes
1,male,40,0,0,31,A31,C,yes
3,male,24,0,0,7.05,,S,no
2,female,35,0,0,21,,S,yes
3,male,22,0,0,7.25,,S,no
2,male,30,0,0,13,,S,no
3,male,,1,0,7.75,,Q,no
1,female,31,1,0,113.275,D36,C,yes
3,female,27,0,0,7.925,,S,yes
2,male,42,1,0,27,,S,no
1,female,32,0,0,76.2917,D15,C,yes
2,male,30,0,0,10.5,,S,no
3,male,16,0,0,8.05,,S,yes
2,male,27,0,0,13,,S,no
3,male,51,0,0,8.05,,S,no
3,male,,0,0,7.8958,,S,no
1,male,38,1,0,90,C93,S,yes
3,male,22,0,0,9.35,,S,no
2,male,19,0,0,10.5,,S,yes
3,male,20.5,0,0,7.25,,S,no
2,male,18,0,0,13,,S,no
3,female,,3,1,25.4667,,S,no
1,female,35,1,0,83.475,C83,S,yes
3,male,29,0,0,7.775,,S,no
2,male,59,0,0,13.5,,S,no
3,female,5,4,2,31.3875,,S,yes
2,male,24,0,0,10.5,,S,no
3,female,,0,0,7.55,,S,no
2,male,44,1,0,26,,S,no
2,female,8,0,2,26.25,,S,yes
2,male,19,0,0,10.5,,S,no
2,male,33,0,0,12.275,,S,no
3,female,,1,0,14.4542,,C,no
3,female,,1,0,15.5,,Q,yes
2,male,29,0,0,10.5,,S,no
3,male,22,0,0,7.125,,S,no
3,male,30,0,0,7.225,,C,no
1,male,44,2,0,90,C78,Q,no
3,female,25,0,0,7.775,,S,no
2,female,24,0,2,14.5,,S,yes
1,male,37,1,1,52.5542,D35,S,yes
2,male,54,1,0,26,,S,no
3,male,,0,0,7.25,,S,no
3,female,29,1,1,10.4625,G6,S,no
1,male,62,0,0,26.55,C87,S,no
3,male,30,1,0,16.1,,S,no
3,female,41,0,2,20.2125,,S,no
3,female,29,0,2,15.2458,,C,yes
1,female,,0,0,79.2,,C,yes
1,female,30,0,0,86.5,B77,S,yes
1,female,35,0,0,512.3292,,C,yes
2,female,50,0,1,26,,S,yes
3,male,,0,0,7.75,,Q,no
3,male,3,4,2,31.3875,,S,yes
1,male,52,1,1,79.65,E67,S,no
1,male,40,0,0,0,B94,S,no
3,female,,0,0,7.75,,Q,no
2,male,36,0,0,10.5,,S,no
3,male,16,4,1,39.6875,,S,no
3,male,25,1,0,7.775,,S,yes
1,female,58,0,1,153.4625,C125,S,yes
1,female,35,0,0,135.6333,C99,S,yes
1,male,,0,0,31,,S,no
3,male,25,0,0,0,,S,yes
2,female,41,0,1,19.5,,S,yes
1,male,37,0,1,29.7,C118,C,no
3,female,,0,0,7.75,,Q,yes
1,female,63,1,0,77.9583,D7,S,yes
3,female,45,0,0,7.75,,S,no
2,male,,0,0,0,,S,no
3,male,7,4,1,29.125,,Q,no
3,female,35,1,1,20.25,,S,yes
3,male,65,0,0,7.75,,Q,no
3,male,28,0,0,7.8542,,S,no
3,male,16,0,0,9.5,,S,no
3,male,19,0,0,8.05,,S,yes
1,male,,0,0,26,A19,S,no
3,male,33,0,0,8.6625,,C,no
3,male,30,0,0,9.5,,S,yes
3,male,22,0,0,7.8958,,S,no
2,male,42,0,0,13,,S,yes
3,female,22,0,0,7.75,,Q,yes
1,female,26,0,0,78.85,,S,yes
1,female,19,1,0,91.0792,B49,C,yes
2,male,36,0,0,12.875,D,C,no
3,female,24,0,0,8.85,,S,no
3,male,24,0,0,7.8958,,S,no
1,male,,0,0,27.7208,,C,no
3,male,23.5,0,0,7.2292,,C,no
1,female,2,1,2,151.55,C22 C26,S,no
1,male,,0,0,30.5,C106,S,yes
1,female,50,0,1,247.5208,B58 B60,C,yes
3,female,,0,0,7.75,,Q,yes
3,male,,2,0,23.25,,Q,yes
3,male,19,0,0,0,,S,no
2,female,,0,0,12.35,E101,Q,yes
3,male,,0,0,8.05,,S,no
1,male,0.92,1,2,151.55,C22 C26,S,yes
1,female,,0,0,110.8833,,C,yes
1,female,17,1,0,108.9,C65,C,yes
2,male,30,1,0,24,,C,no
1,female,30,0,0,56.9292,E36,C,yes
1,female,24,0,0,83.1583,C54,C,yes
1,female,18,2,2,262.375,B57 B59 B63 B66,C,yes
2,female,26,1,1,26,,S,no
3,male,28,0,0,7.8958,,S,no
2,male,43,1,1,26.25,,S,no
3,female,26,0,0,7.8542,,S,yes
2,female,24,1,0,26,,S,yes
2,male,54,0,0,14,,S,no
1,female,31,0,2,164.8667,C7,S,yes
1,female,40,1,1,134.5,E34,C,yes
3,male,22,0,0,7.25,,S,no
3,male,27,0,0,7.8958,,S,no
2,female,30,0,0,12.35,,Q,yes
2,female,22,1,1,29,,S,yes
3,male,,8,2,69.55,,S,no
1,female,36,0,0,135.6333,C32,C,yes
3,male,61,0,0,6.2375,,S,no
2,female,36,0,0,13,D,S,yes
3,female,31,1,1,20.525,,S,yes
1,female,16,0,1,57.9792,B18,C,yes
3,female,,2,0,23.25,,Q,yes
1,male,45.5,0,0,28.5,C124,S,no
1,male,38,0,1,153.4625,C91,S,no
3,male,16,2,0,18,,S,no
1,female,,1,0,133.65,,S,yes
3,male,,0,0,7.8958,,S,no
1,male,29,1,0,66.6,C2,S,no
1,female,41,0,0,134.5,E40,C,yes
3,male,45,0,0,8.05,,S,yes
1,male,45,0,0,35.5,T,S,no
2,male,2,1,1,26,F2,S,yes
1,female,24,3,2,263,C23 C25 C27,S,yes
2,male,28,0,0,13,,S,no
2,male,25,0,0,13,,S,no
2,male,36,0,0,13,,S,no
2,female,24,0,0,13,F33,S,yes
2,female,40,0,0,13,,S,yes
3,female,,1,0,16.1,,S,yes
3,male,3,1,1,15.9,,S,yes
3,male,42,0,0,8.6625,,S,no
3,male,23,0,0,9.225,,S,no
1,male,,0,0,35,C128,S,no
3,male,15,1,1,7.2292,,C,no
3,male,25,1,0,17.8,,S,no
3,male,,0,0,7.225,,C,no
3,male,28,0,0,9.5,,S,no
1,female,22,0,1,55,E33,S,yes
2,female,38,0,0,13,,S,no
3,female,,0,0,7.8792,,Q,yes
3,female,,0,0,7.8792,,Q,yes
3,male,40,1,4,27.9,,S,no
2,male,29,1,0,27.7208,,C,no
3,female,45,0,1,14.4542,,C,no
3,male,35,0,0,7.05,,S,no
3,male,,1,0,15.5,,Q,no
3,male,30,0,0,7.25,,S,no
1,female,60,1,0,75.25,D37,C,yes
3,female,,0,0,7.2292,,C,yes
3,female,,0,0,7.75,,Q,yes
1,female,24,0,0,69.3,B35,C,yes
1,male,25,1,0,55.4417,E50,C,yes
3,male,18,1,0,6.4958,,S,no
3,male,19,0,0,8.05,,S,no
1,male,22,0,0,135.6333,,C,no
3,female,3,3,1,21.075,,S,no
1,female,,1,0,82.1708,,C,yes
3,female,22,0,0,7.25,,S,yes
1,male,27,0,2,211.5,C82,C,no
3,male,20,0,0,4.0125,,C,no
3,male,19,0,0,7.775,,S,no
1,female,42,0,0,227.525,,C,yes
3,female,1,0,2,15.7417,,C,yes
3,male,32,0,0,7.925,,S,no
1,female,35,1,0,52,,S,yes
3,male,,0,0,7.8958,,S,no
2,male,18,0,0,73.5,,S,no
3,male,1,5,2,46.9,,S,no
2,female,36,0,0,13,,S,yes
3,male,,0,0,7.7292,,Q,no
2,female,17,0,0,12,,C,yes
1,male,36,1,2,120,B96 B98,S,yes
3,male,21,0,0,7.7958,,S,yes
3,male,28,2,0,7.925,,S,no
1,female,23,1,0,113.275,D36,C,yes
3,female,24,0,2,16.7,G6,S,yes
3,male,22,0,0,7.7958,,S,no
3,female,31,0,0,7.8542,,S,no
2,male,46,0,0,26,,S,no
2,male,23,0,0,10.5,,S,no
2,female,28,0,0,12.65,,S,yes
3,male,39,0,0,7.925,,S,yes
3,male,26,0,0,8.05,,S,no
3,female,21,1,0,9.825,,S,no
3,male,28,1,0,15.85,,S,no
3,female,20,0,0,8.6625,,S,no
2,male,34,1,0,21,,S,no
3,male,51,0,0,7.75,,S,no
2,male,3,1,1,18.75,,S,yes
3,male,21,0,0,7.775,,S,no
3,female,,3,1,25.4667,,S,no
3,male,,0,0,7.8958,,S,no
3,male,,0,0,6.8583,,Q,no
1,female,33,1,0,90,C78,Q,yes
2,male,,0,0,0,,S,no
3,male,44,0,0,7.925,,S,yes
3,female,,0,0,8.05,,S,no
2,female,34,1,1,32.5,,S,yes
2,female,18,0,2,13,,S,yes
2,male,30,0,0,13,,S,no
3,female,10,0,2,24.15,,S,no
3,male,,0,0,7.8958,,C,no
3,male,21,0,0,7.7333,,Q,no
3,male,29,0,0,7.875,,S,no
3,female,28,1,1,14.4,,S,no
3,male,18,1,1,20.2125,,S,no
3,male,,0,0,7.25,,S,no
2,female,28,1,0,26,,S,yes
2,female,19,0,0,26,,S,yes
3,male,,0,0,7.75,,Q,no
3,male,32,0,0,8.05,E10,S,yes
1,male,28,0,0,26.55,C52,S,yes
3,female,,1,0,16.1,,S,yes
2,female,42,1,0,26,,S,yes
3,male,17,0,0,7.125,,S,no
1,male,50,1,0,55.9,E44,S,no
1,female,14,1,2,120,B96 B98,S,yes
3,female,21,2,2,34.375,,S,no
2,female,24,2,3,18.75,,S,yes
1,male,64,1,4,263,C23 C25 C27,S,no
2,male,31,0,0,10.5,,S,no
2,female,45,1,1,26.25,,S,yes
3,male,20,0,0,9.5,,S,no
3,male,25,1,0,7.775,,S,no
2,female,28,0,0,13,,S,yes
