Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
3,male,,0,0,8.1125,,S,yes
1,male,4,0,2,81.8583,A34,S,yes
2,female,13,0,1,19.5,,S,yes
1,male,34,0,0,26.55,,S,yes
3,female,5,2,1,19.2583,,C,yes
1,male,52,0,0,30.5,C104,S,yes
2,male,36,1,2,27.75,,S,no
3,male,,1,0,19.9667,,S,no
1,male,30,0,0,27.75,C111,C,no
1,male,49,1,0,89.1042,C92,C,yes
3,male,,0,0,8.05,,S,no
3,male,29,0,0,7.8958,,C,yes
1,male,65,0,0,26.55,E38,S,no
1,female,,1,0,51.8625,D21,S,yes
2,female,50,0,0,10.5,,S,yes
3,male,,0,0,7.75,,Q,no
1,male,48,0,0,26.55,E12,S,yes
3,male,34,0,0,8.05,,S,no
1,male,47,0,0,38.5,E63,S,no
2,male,48,0,0,13,,S,no
3,male,,0,0,8.05,,S,no
3,male,38,0,0,7.05,,S,no
2,male,,0,0,0,,S,no
1,male,56,0,0,26.55,,S,no
3,male,,0,0,7.725,,Q,no
3,female,0.75,2,1,19.2583,,C,yes
3,male,,0,0,7.25,,S,no
3,male,38,0,0,8.6625,,S,no
2,female,33,1,2,27.75,,S,yes
2,female,23,0,0,13.7917,D,C,yes
3,female,22,0,0,9.8375,,S,no
1,male,,0,0,52,A14,S,no
2,male,34,1,0,21,,S,no
3,male,29,1,0,7.0458,,S,no
3,male,22,0,0,7.5208,,S,no
3,female,2,0,1,12.2875,,S,yes
3,male,9,5,2,46.9,,S,no
2,male,,0,0,0,,S,no
3,male,50,0,0,8.05,,S,no
3,female,63,0,0,9.5875,,S,yes
1,male,25,1,0,91.0792,B49,C,yes
3,female,,3,1,25.4667,,S,no
1,female,35,1,0,90,C93,S,yes
1,male,58,0,0,29.7,B37,C,no
3,male,30,0,0,8.05,,S,no
3,male,9,1,1,15.9,,S,yes
3,male,,1,0,19.9667,,S,no
3,male,21,0,0,7.25,,S,no
1,male,55,0,0,30.5,C30,S,no
1,male,71,0,0,49.5042,,C,no
3,male,21,0,0,8.05,,S,no
3,male,,0,0,14.4583,,C,no
1,female,54,1,0,78.2667,D20,C,yes
3,male,,0,0,15.1,,S,no
1,female,25,1,2,151.55,C22 C26,S,no
3,male,24,0,0,7.7958,,S,no
3,male,17,0,0,8.6625,,S,no
3,female,21,0,0,7.75,,Q,no
3,female,,0,0,7.6292,,Q,no
3,female,37,0,0,9.5875,,S,no
1,female,16,0,0,86.5,B79,S,yes
1,male,18,1,0,108.9,C65,C,no
2,female,33,0,2,26,,S,yes
1,male,,0,0,26.55,,S,yes
3,male,28,0,0,22.525,,S,no
3,male,26,0,0,56.4958,,S,yes
3,male,29,0,0,7.75,,Q,yes
3,male,,0,0,8.05,,S,no
1,male,36,0,0,26.2875,E25,S,yes
1,female,54,1,0,59.4,,C,yes
3,male,24,0,0,7.4958,,S,no
1,male,47,0,0,34.0208,D46,S,no
2,female,34,0,0,10.5,F33,S,yes
3,male,,0,0,24.15,,Q,no
2,female,36,1,0,26,,S,yes
3,male,32,0,0,7.8958,,S,no
1,female,30,0,0,93.5,B73,S,yes
3,male,22,0,0,7.8958,,S,no
3,male,,0,0,7.225,,C,no
1,female,44,0,1,57.9792,B18,C,yes
3,male,,0,0,7.2292,,C,no
3,male,40.5,0,0,7.75,,Q,no
2,female,50,0,0,10.5,,S,yes
1,male,,0,0,221.7792,C95,S,no
3,male,39,0,0,7.925,,S,no
2,male,23,2,1,11.5,,S,no
2,female,2,1,1,26,,S,yes
3,male,,0,0,7.2292,,C,no
3,male,17,1,1,7.2292,,C,no
3,female,,0,2,22.3583,,C,yes
3,female,30,0,0,8.6625,,S,no
2,female,7,0,2,26.25,,S,yes
1,male,45,0,0,26.55,B38,S,no
1,female,30,0,0,106.425,,C,yes
3,male,,0,0,14.5,,S,no
1,female,22,0,2,49.5,B39,C,yes
1,female,36,0,2,71,B22,S,yes
3,female,9,4,2,31.275,,S,no
3,female,11,4,2,31.275,,S,no
2,male,32,1,0,26,,S,yes
1,male,50,1,0,106.425,C86,C,no
1,male,64,0,0,26,,S,no
2,female,19,1,0,26,,S,yes
2,male,,0,0,13.8625,,C,yes
3,male,33,1,1,20.525,,S,no
2,male,8,1,1,36.75,,S,yes
1,male,17,0,2,110.8833,C70,C,yes
2,male,27,0,0,26,,S,no
3,male,,0,0,7.8292,,Q,no
3,male,22,0,0,7.225,,C,yes
3,female,22,0,0,7.775,,S,yes
1,male,62,0,0,26.55,,S,no
1,female,48,1,0,39.6,A16,C,yes
1,male,,0,0,227.525,,C,no
1,female,39,1,1,79.65,E67,S,yes
3,female,36,1,0,17.4,,S,yes
3,male,,0,0,7.75,,Q,no
3,male,40,0,0,7.8958,,S,no
2,male,28,0,0,13.5,,S,no
3,male,,0,0,8.05,,S,no
3,female,,0,0,8.05,,S,no
3,male,24,2,0,24.15,,S,no
3,male,19,0,0,7.8958,,S,no
3,female,29,0,4,21.075,,S,no
3,male,,0,0,7.2292,,C,no
3,male,32,0,0,7.8542,,S,yes
2,male,62,0,0,10.5,,S,yes
1,female,53,2,0,51.4792,C101,S,yes
1,male,36,0,0,26.3875,E25,S,yes
3,female,,0,0,7.75,,Q,yes
3,male,16,0,0,8.05,,S,no
3,male,19,0,0,14.5,,S,no
2,female,34,0,0,13,,S,yes
1,female,39,1,0,55.9,E44,S,yes
3,female,,1,0,14.4583,,C,no
3,male,32,0,0,7.925,,S,yes
2,female,25,1,1,30,,S,yes
1,female,39,1,1,110.8833,C68,C,yes
2,male,54,0,0,26,,S,no
1,male,36,0,0,40.125,A10,C,no
3,male,,0,0,8.7125,,C,no
1,female,18,0,2,79.65,E68,S,yes
2,male,47,0,0,15,,S,no
1,male,60,1,1,79.2,B41,C,yes
3,male,22,0,0,8.05,,S,no
3,male,,0,0,8.05,,S,no
3,male,35,0,0,7.125,,S,no
1,female,52,1,0,78.2667,D20,C,yes
3,male,47,0,0,7.25,,S,no
3,female,,0,2,7.75,,Q,no
2,male,37,1,0,26,,S,no
3,male,36,1,1,24.15,,S,no
2,female,,0,0,33,,S,yes
3,male,49,0,0,0,,S,no
3,male,,0,0,7.225,,C,no
1,male,49,1,0,56.9292,A20,C,yes
2,female,24,2,1,27,,S,yes
3,male,,0,0,7.8958,,S,no
1,male,,0,0,42.4,,S,no
3,male,44,0,0,8.05,,S,no
1,male,35,0,0,26.55,,C,yes
3,male,36,1,0,15.55,,S,no
3,male,30,0,0,7.8958,,S,no
1,male,27,0,0,30.5,,S,yes
2,female,22,1,2,41.5792,,C,yes
1,female,40,0,0,153.4625,C125,S,yes
3,female,39,1,5,31.275,,S,no
3,male,,0,0,7.05,,S,no
3,female,,1,0,15.5,,Q,yes
3,male,,0,0,7.75,,Q,no
3,male,35,0,0,8.05,,S,no
2,female,24,1,2,65,,S,yes
3,male,34,1,1,14.4,,S,no
3,female,26,1,0,16.1,,S,no
2,female,4,2,1,39,F4,S,yes
2,male,26,0,0,10.5,,S,no
3,male,27,1,0,14.4542,,C,no
1,male,42,1,0,52.5542,D19,S,yes
3,male,20,1,1,15.7417,,C,yes
3,male,21,0,0,7.8542,,S,no
3,male,21,0,0,16.1,,S,no
1,male,61,0,0,32.3208,D50,S,no
2,male,57,0,0,12.35,,Q,no
1,female,21,0,0,77.9583,D9,S,yes
3,male,26,0,0,7.8958,,S,no
3,male,,0,0,7.7333,,Q,no
1,male,80,0,0,30,A23,S,yes
3,male,51,0,0,7.0542,,S,no
1,male,32,0,0,30.5,B50,C,yes
1,male,,0,0,0,,S,no
3,female,9,3,2,27.9,,S,no
2,female,28,0,0,13,,S,yes
3,male,32,0,0,7.925,,S,no
2,male,31,1,1,26.25,,S,no
3,female,41,0,5,39.6875,,S,no
3,male,,1,0,16.1,,S,no
3,male,20,0,0,7.8542,,S,no
1,female,24,0,0,69.3,B35,C,yes
3,female,2,3,2,27.9,,S,no
3,male,,0,0,56.4958,,S,yes
3,female,0.75,2,1,19.2583,,C,yes
1,male,48,1,0,76.7292,D33,C,yes
3,male,19,0,0,7.8958,,S,no
1,male,56,0,0,35.5,A26,C,yes
3,male,,0,0,7.55,,S,no
3,female,23,0,0,7.55,,S,yes
3,male,,0,0,7.8958,,S,no
2,female,18,0,1,23,,S,yes
3,male,21,0,0,8.4333,,S,no
3,female,,0,0,7.8292,,Q,yes
3,female,18,0,0,6.75,,Q,no
2,male,24,2,0,73.5,,S,no
3,male,,0,0,7.8958,,S,no
3,female,32,1,1,15.5,,Q,no
2,male,23,0,0,13,,S,no
1,male,58,0,2,113.275,D48,C,no
1,male,50,2,0,133.65,,S,yes
3,male,40,0,0,7.225,,C,no
1,male,47,0,0,25.5875,E58,S,no
3,male,36,0,0,7.4958,,S,no
3,male,20,1,0,7.925,,S,yes
2,male,32,2,0,73.5,,S,no
2,male,25,0,0,13,,S,no
3,male,,0,0,7.775,,S,no
3,male,43,0,0,8.05,,S,no
1,female,,1,0,52,C126,S,yes
2,female,40,1,1,39,,S,yes
1,male,31,1,0,52,B71,S,no
2,male,70,0,0,10.5,,S,no
2,male,31,0,0,13,,S,yes
2,male,,0,0,0,,S,no
3,male,18,0,0,7.775,,S,no
3,male,24.5,0,0,8.05,,S,no
3,female,18,0,0,9.8417,,S,yes
3,female,43,1,6,46.9,,S,no
1,male,36,0,1,512.3292,B51 B53 B55,C,yes
3,female,,0,0,8.1375,,Q,no
1,male,27,0,0,76.7292,D49,C,yes
3,male,20,0,0,9.225,,S,no
3,male,14,5,2,46.9,,S,no
2,male,60,1,1,39,,S,no
2,male,25,1,2,41.5792,,C,no
3,male,14,4,1,39.6875,,S,no
3,male,19,0,0,10.1708,,S,no
3,male,18,0,0,7.7958,,S,no
1,female,15,0,1,211.3375,B5,S,yes
1,male,31,1,0,57,B20,S,yes
3,female,4,0,1,13.4167,,C,yes
3,male,,0,0,56.4958,,S,yes
3,male,25,0,0,7.225,,C,no
1,male,60,0,0,26.55,,S,no
2,male,52,0,0,13.5,,S,no
3,male,44,0,0,8.05,,S,no
3,female,,0,0,7.7333,,Q,yes
1,male,49,1,1,110.8833,C68,C,no
3,male,42,0,0,7.65,F G63,S,no
1,female,18,1,0,227.525,C62 C64,C,yes
1,male,35,0,0,26.2875,E24,S,yes
3,female,18,0,1,14.4542,,C,no
3,male,25,0,0,7.7417,,Q,no
3,male,26,1,0,7.8542,,S,no
2,male,39,0,0,26,,S,no
2,female,45,0,0,13.5,,S,yes
1,male,42,0,0,26.2875,E24,S,yes
1,female,22,0,0,151.55,,S,yes
3,male,,1,1,15.2458,,C,yes
1,female,24,0,0,49.5042,C90,C,yes
1,male,,0,0,26.55,C124,S,no
1,male,48,1,0,52,C126,S,yes
3,male,29,0,0,9.4833,,S,no
2,male,52,0,0,13,,S,no
3,male,19,0,0,7.65,F G73,S,no
1,female,38,0,0,227.525,C45,C,yes
2,female,27,0,0,10.5,E101,S,yes
3,male,,0,0,15.5,,Q,no
3,male,33,0,0,7.775,,S,no
2,female,6,0,1,33,,S,yes
3,male,17,1,0,7.0542,,S,no
2,male,34,0,0,13,,S,no
2,male,50,0,0,13,,S,no
1,male,27,1,0,53.1,E8,S,yes
3,male,20,0,0,8.6625,,S,no
2,female,30,3,0,21,,S,yes
3,female,,0,0,7.7375,,Q,yes
2,male,25,1,0,26,,S,no
3,female,25,1,0,7.925,,S,no
1,female,29,0,0,211.3375,B5,S,yes
3,male,11,0,0,18.7875,,C,no
2,male,,0,0,0,,S,no
2,male,23,0,0,13,,S,no
2,male,23,0,0,13,,S,no
3,male,28.5,0,0,16.1,,S,no
3,female,48,1,3,34.375,,S,no
1,male,35,0,0,512.3292,B101,C,yes
3,male,,0,0,7.8958,,S,no
3,male,,0,0,7.8958,,S,no
1,male,,0,0,30,D45,S,yes
1,male,36,1,0,78.85,C46,S,no
1,female,21,2,2,262.375,B57 B59 B63 B66,C,yes
3,male,24,1,0,16.1,,S,no
3,male,31,0,0,7.925,,S,yes
1,male,70,1,1,71,B22,S,no
3,male,16,1,1,20.25,,S,no
2,female,30,0,0,13,,S,yes
1,male,19,1,0,53.1,D30,S,no
3,male,31,0,0,7.75,,Q,no
2,female,4,1,1,23,,S,yes
3,male,6,0,1,12.475,E121,S,yes
3,male,33,0,0,9.5,,S,no
3,male,23,0,0,7.8958,,S,no
2,female,48,1,2,65,,S,yes
2,male,0.67,1,1,14.5,,S,yes
3,male,28,0,0,7.7958,,S,no
2,male,18,0,0,11.5,,S,no
3,male,34,0,0,8.05,,S,no
1,female,33,0,0,86.5,B77,S,yes
3,male,,0,0,14.5,,S,no
3,male,41,0,0,7.125,,S,no
3,male,20,0,0,7.2292,,C,yes
1,female,36,1,2,120,B96 B98,S,yes
3,male,16,0,0,7.775,,S,no
1,female,51,1,0,77.9583,D11,S,yes
1,male,,0,0,39.6,,C,no
3,female,30.5,0,0,7.75,,Q,no
3,male,,1,0,24.15,,Q,no
3,male,32,0,0,8.3625,,S,no
3,male,24,0,0,9.5,,S,no
3,male,48,0,0,7.8542,,S,no
2,female,57,0,0,10.5,E77,S,no
3,male,,0,0,7.225,,C,no
2,female,54,1,3,23,,S,yes
3,male,18,0,0,7.75,,S,no
3,male,,0,0,7.75,F38,Q,no
3,female,5,0,0,12.475,,S,yes
3,male,,0,0,7.7375,,Q,no
1,female,43,0,1,211.3375,B3,S,yes
3,female,13,0,0,7.2292,,C,yes
1,female,17,1,0,57,B20,S,yes
1,male,29,0,0,30,D6,S,no
3,male,,1,2,23.45,,S,no
3,male,25,0,0,7.05,,S,no
3,male,25,0,0,7.25,,S,no
3,female,18,0,0,7.4958,,S,yes
3,male,8,4,1,29.125,,Q,no
3,male,1,1,2,20.575,,S,yes
1,male,46,0,0,79.2,B82 B84,C,no
3,male,,0,0,7.75,,Q,no
2,male,16,0,0,26,,S,no
3,female,,8,2,69.55,,S,no
1,male,,0,0,30.6958,,C,no
3,male,25,0,0,7.8958,,S,no
2,male,39,0,0,13,,S,no
1,female,49,0,0,25.9292,D17,S,yes
3,female,31,0,0,8.6833,,S,yes
3,male,30,0,0,7.2292,,C,no
3,female,30,1,1,24.15,,S,no
2,male,34,0,0,13,,S,no
2,female,31,1,1,26.25,,S,yes
1,male,11,1,2,120,B96 B98,S,yes
3,male,0.42,0,1,8.5167,,C,yes
3,male,27,0,0,6.975,,S,yes
3,male,31,0,0,7.775,,S,no
1,male,39,0,0,0,A36,S,no
3,female,18,0,0,7.775,,S,no
2,male,39,0,0,13,,S,no
1,female,33,1,0,53.1,E8,S,yes
3,male,26,0,0,7.8875,,S,no
3,male,39,0,0,24.15,,S,no
2,male,35,0,0,10.5,,S,no
3,female,6,4,2,31.275,,S,no
3,male,30.5,0,0,8.05,,S,no
1,male,,0,0,0,B102,S,no
3,female,23,0,0,7.925,,S,no
2,male,31,1,1,37.0042,,C,no
3,male,43,0,0,6.45,,S,no
3,male,10,3,2,27.9,,S,no
1,female,52,1,1,93.5,B69,S,yes
3,male,27,0,0,8.6625,,S,yes
1,male,38,0,0,0,,S,no
3,female,27,0,1,12.475,E121,S,yes
3,male,2,4,1,39.6875,,S,no
3,male,,0,0,6.95,,Q,no
3,male,,0,0,56.4958,,S,no
2,male,1,0,2,37.0042,,C,yes
3,male,,0,0,7.75,,Q,yes
1,female,62,0,0,80,B28,,yes
3,female,15,1,0,14.4542,,C,yes
2,male,0.83,1,1,18.75,,S,yes
3,male,,0,0,7.2292,,C,no
3,male,23,0,0,7.8542,,S,no
3,male,18,0,0,8.3,,S,no
1,female,39,1,1,83.1583,E49,C,yes
3,male,21,0,0,8.6625,,S,no
3,male,,0,0,8.05,,S,no
3,male,32,0,0,56.4958,,S,yes
1,male,,0,0,29.7,C47,C,yes
3,male,20,0,0,7.925,,S,no
2,male,16,0,0,10.5,,S,no
1,female,30,0,0,31,,C,yes
3,male,34.5,0,0,6.4375,,C,no
3,male,17,0,0,8.6625,,S,no
3,male,42,0,0,7.55,,S,no
3,male,,8,2,69.55,,S,no
3,male,35,0,0,7.8958,,C,no
2,male,28,0,1,33,,S,no
1,female,,1,0,89.1042,C92,C,yes
3,male,4,4,2,31.275,,S,no
3,male,74,0,0,7.775,,S,no
3,female,9,1,1,15.2458,,C,no
1,female,16,0,1,39.4,D28,S,yes
2,female,44,1,0,26,,S,no
3,female,18,0,1,9.35,,S,yes
1,female,45,1,1,164.8667,,S,yes
1,male,51,0,0,26.55,E17,S,yes
3,female,24,0,3,19.2583,,C,yes
3,male,,0,0,7.2292,,C,no
3,male,41,2,0,14.1083,,S,no
2,male,21,1,0,11.5,,S,no
1,female,48,0,0,25.9292,D17,S,yes
3,female,,8,2,69.55,,S,no
2,male,24,0,0,13,,S,no
2,female,42,0,0,13,,S,yes
2,female,27,1,0,13.8583,,C,yes
1,male,31,0,0,50.4958,A24,S,no
3,male,,0,0,9.5,,S,no
3,male,4,1,1,11.1333,,S,yes
3,male,26,0,0,7.8958,,S,no
1,female,47,1,1,52.5542,D35,S,yes
1,male,33,0,0,5,B51 B53 B55,S,no
3,male,47,0,0,9,,S,no
2,female,28,1,0,24,,C,yes
3,female,15,0,0,7.225,,C,yes
3,male,20,0,0,9.8458,,S,no
3,male,19,0,0,7.8958,,S,no
3,male,,0,0,7.8958,,S,no
1,female,56,0,1,83.1583,C50,C,yes
2,female,25,0,1,26,,S,yes
3,male,33,0,0,7.8958,,S,no
3,female,22,0,0,10.5167,,S,no
2,male,28,0,0,10.5,,S,no
3,male,25,0,0,7.05,,S,no
3,female,39,0,5,29.125,,Q,no
2,male,27,0,0,13,,S,no
1,female,19,0,0,30,B42,S,yes
3,female,,1,2,23.45,,S,no
1,male,26,0,0,30,C148,C,yes
3,male,32,0,0,7.75,,Q,no